tooth_class,tooth_head,lm_index,name,x_mm,y_mm,z_mm,confidence,margin,roi_size
1,t31,0,m,1.860426664352417,-12.747356414794922,-2.1608333587646484,0.9443424344062805,0.5063628554344177,6348
1,t31,1,ma,6.932786464691162,-17.32931900024414,3.2565932273864746,0.8724039196968079,0.5061023235321045,6348
1,t31,2,da,6.064253330230713,-13.959222793579102,-0.6349566578865051,0.9729484915733337,0.5028368234634399,6348
1,t31,3,mc,6.064253330230713,-13.959222793579102,-0.6349566578865051,0.9447153210639954,0.5013515949249268,6348
1,t31,4,dc,6.064253330230713,-13.959222793579102,-0.6349566578865051,0.8455389738082886,0.5011748671531677,6348
1,t31,5,bgb,4.113183498382568,-20.078079223632812,3.4819300174713135,0.9997439980506897,0.5020096302032471,6348
1,t31,6,lgb,1.7560166120529175,-18.098739624023438,-2.9037930965423584,0.9039110541343689,0.5053707361221313,6348
1,t31,7,lm_07,0.79489666223526,-19.204309463500977,2.754476547241211,0.3375777006149292,0.5009862780570984,6348
1,t31,8,lm_08,5.950003147125244,-17.074853897094727,-2.858713150024414,0.9488550424575806,0.5004578232765198,6348
1,t31,9,lm_09,2.4121532440185547,-12.912443161010742,-1.6490466594696045,0.22287167608737946,0.5021378397941589,6348
1,t31,10,lm_10,6.209863185882568,-19.704105377197266,3.1548099517822266,0.7402516007423401,0.5017974972724915,6348
1,t31,11,lm_11,1.2599565982818604,-14.83116626739502,-1.1937799453735352,0.4146384298801422,0.503394365310669,6348
2,t32,0,m,7.145563125610352,-13.339662551879883,0.011429999954998493,0.7175598740577698,0.5024261474609375,4406
2,t32,1,ma,12.709616661071777,-13.880853652954102,1.669516682624817,0.9989207983016968,0.5002455711364746,4406
2,t32,2,da,12.361593246459961,-13.638683319091797,2.3991165161132812,0.9993575215339661,0.5050420761108398,4406
2,t32,3,mc,12.554286003112793,-14.877046585083008,1.07534658908844,0.8709604144096375,0.5002813339233398,4406
2,t32,4,dc,12.060346603393555,-12.824872970581055,1.6968165636062622,0.9487164616584778,0.5032188892364502,4406
2,t32,5,bgb,8.326286315917969,-17.3592529296875,3.9088797569274902,0.9998644590377808,0.5025708675384521,4406
2,t32,6,lgb,12.487919807434082,-14.523079872131348,0.2772333323955536,0.9744880199432373,0.5003771781921387,4406
2,t32,7,lm_07,12.490386009216309,-14.436576843261719,0.2360466569662094,0.7613657712936401,0.5006629824638367,4406
2,t32,8,lm_08,12.301652908325195,-15.068192481994629,2.6623799800872803,0.9620338678359985,0.5040488839149475,4406
2,t32,9,lm_09,8.259900093078613,-17.608659744262695,1.855076551437378,0.8842208981513977,0.501120924949646,4406
2,t32,10,lm_10,6.488006591796875,-14.906745910644531,1.8963465690612793,0.5642459988594055,0.5006515979766846,4406
2,t32,11,lm_11,7.774886608123779,-17.75688362121582,2.3713300228118896,0.8972174525260925,0.5104213953018188,4406
3,t33,0,m,14.77199935913086,-11.078383445739746,2.6486599445343018,0.9212871789932251,0.5188993811607361,4516
3,t33,1,mc,13.291359901428223,-9.579509735107422,2.5359365940093994,0.9577791094779968,0.5077522993087769,4516
3,t33,2,dc,13.377802848815918,-9.37710952758789,2.5119900703430176,0.9396988749504089,0.5079795718193054,4516
3,t33,3,bgb,14.680826187133789,-13.293562889099121,-7.593479633331299,0.9999605417251587,0.5079763531684875,4516
3,t33,4,lgb,13.916139602661133,-13.656232833862305,-8.096416473388672,0.9898327589035034,0.5316899418830872,4516
3,t33,5,lm_05,11.561833381652832,-10.28844928741455,0.46299999952316284,0.4933866858482361,0.5000291466712952,4516
3,t33,6,lm_06,12.779253005981445,-14.08661937713623,-6.081560134887695,0.8177522420883179,0.5013265609741211,4516
3,t33,7,lm_07,14.77199935913086,-11.078383445739746,2.6486599445343018,0.8149530291557312,0.5026715397834778,4516
3,t33,8,lm_08,9.432586669921875,-11.485133171081543,-0.8886866569519043,0.271528422832489,0.5020400285720825,4516
3,t33,9,lm_09,14.77199935913086,-11.078383445739746,2.6486599445343018,0.9132433533668518,0.5035556554794312,4516
3,t33,10,lm_10,6.0995965003967285,-13.950479507446289,-0.15048666298389435,0.6688573956489563,0.5002222061157227,4516
3,t33,11,lm_11,14.796672821044922,-11.148679733276367,2.64111328125,0.9176509380340576,0.5035285353660583,4516
4,t34,0,b,19.12148666381836,0.1094033345580101,-0.23019999265670776,0.9999228715896606,0.5003597736358643,13327
4,t34,1,l,11.26078987121582,-4.165629863739014,-6.234889984130859,0.9775546789169312,0.5070673823356628,13327
4,t34,2,m,11.242389678955078,-4.411900043487549,-5.535316467285156,0.9986715316772461,0.5089524984359741,13327
4,t34,3,mr,15.135056495666504,0.7043333053588867,-2.12937331199646,0.773354709148407,0.5004138946533203,13327
4,t34,4,dr,11.209799766540527,-4.321009635925293,-5.819109916687012,0.9463828802108765,0.5001876950263977,13327
